event,type,extras,date,calendar_system
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2030-10-04,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2030-10-05,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2030-10-06,hindu_lunar
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2030-10-11,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2030-10-15,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2030-10-26,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2030-10-27,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2030-10-28,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2030-11-01,hindu_lunar
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2030-11-09,islamic
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2030-11-10,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2030-11-14,gregorian_fixed
World AIDS Day,Good to know,fixed day in Gregorian calendar,2030-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2030-12-22,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2030-12-25,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2030-12-30,hindu_lunar
